iteration,flagged_count,sample_excess
308,2345,174364222.94162095
309,2347,163839233.77529964
310,2345,159866385.30964705
311,2345,143803169.25978225
312,2346,160752326.43077993
313,2345,150546488.66830721
314,2345,164231263.48536268
315,2345,150262356.15811297
316,2345,158405881.05211005
317,2345,173178824.83563754
318,2345,160249696.08617198
319,2345,172852052.33701634
320,2345,169316572.76507202
321,2346,168114548.1290883
322,2345,160980831.81081903
323,2345,168466668.97741923
324,2345,165023976.5365591
325,2345,165140218.17333245
326,2346,160521795.64610928
327,2345,160755456.318033
328,2345,165617315.79931578
329,2346,159233637.08512443
330,2345,159517595.24392927
331,2346,163753002.11038554
332,2346,153425656.43712804
333,2345,164410067.39076316
334,2345,159677330.28633136
335,2345,150054502.83718666
336,2346,157809608.1606695
337,2345,149759487.90608054
338,2346,172058203.86172417
339,2345,166635807.5925995
340,2345,151197020.3203895
341,2345,161980022.06287825
342,2346,157078131.79594114
343,2347,166452508.08546466
344,2345,158341357.25985134
345,2345,175758873.10520542
346,2345,152768069.20449707
347,2345,167817017.96708867
348,2345,151508816.31031588
349,2347,173263900.29950982
350,2345,165265897.76473182
351,2345,175141675.30124354
352,2345,171760736.24782285
353,2346,177848823.24526626
354,2347,154599507.6739382
355,2345,163448919.92289987
356,2345,174005150.25727922
357,2345,156749142.3201142
358,2345,154592834.3047478
359,2346,177144247.28863388
360,2346,157847990.21195376
361,2345,157477354.41915318
362,2345,157551485.1451104
363,2345,162654335.50461045
364,2346,162858450.5871036
365,2346,162175773.40995723
366,2345,166178585.74717334
367,2345,143831616.78359517
368,2345,151352973.73533398
369,2345,160516583.11113104
370,2345,165395876.87092623
371,2346,154857934.848168
372,2345,171489110.2244847
373,2345,153517164.32594278
374,2347,163009932.52022326
375,2345,158873540.0284735
376,2348,157603264.9605266
377,2345,171420429.89290363
378,2346,151856582.4345582
379,2345,155919727.2345069
380,2345,168835541.42570096
381,2345,161143390.7089325
382,2345,160249266.60217857
383,2345,157770579.76222217
384,2345,156107892.13135308
385,2346,168309021.50270563
386,2346,154666487.5402986
387,2346,158040572.2502389
388,2347,151899917.98944557
389,2345,144452387.04145247
390,2345,161279902.99881938
391,2345,160864007.8266496
392,2346,161705973.69387954
393,2345,152494539.86060393
394,2345,175912503.61752427
395,2345,142750936.94013867
396,2345,170451628.29163754
397,2347,160556309.5445711
398,2345,148918974.75752994
399,2345,159088412.7325596
400,2345,172615112.34660503
401,2345,175539955.55803114
402,2345,161635255.93526992
403,2345,168057575.0369943
404,2345,162846129.09603193
405,2347,151175128.75329724
406,2345,173964797.83425486
407,2345,168704326.8410437
408,2346,165515390.00978124
409,2345,156886343.6670841
410,2347,171260008.16012222
411,2345,177931273.58971325
412,2345,161822961.33048978
413,2345,164592875.64120722
414,2346,155829699.1123883
415,2345,155153493.44566467
416,2345,155126871.71889818
417,2346,172619876.17130458
418,2345,152267250.19100133
419,2345,168926655.95866847
420,2345,155412299.23523873
421,2345,160374507.68850678
422,2345,165647672.08534715
423,2345,158531690.28734705
424,2346,161445931.54269236
425,2346,153157913.03556666
426,2346,151967638.08214366
427,2345,162065699.35968238
428,2345,163871563.79223943
429,2345,167567112.39660883
430,2345,157750087.36271188
431,2345,154487514.63460994
432,2345,156262179.33820924
433,2345,168649204.91697288
434,2347,151307842.28785318
435,2345,173637411.5918814
436,2345,162012214.72902054
437,2347,157071859.87892967
438,2345,164297363.87135658
439,2345,158240259.53528893
440,2345,184583312.41003847
441,2346,150431818.3751924
442,2345,161110686.60280636
443,2345,172004266.8413939
444,2345,157577014.65003037
445,2345,172764716.78943333
446,2345,149980504.72871047
447,2345,161359329.01983312
448,2348,172086266.03375283
449,2345,166776941.89160877
450,2345,161735558.90250617
451,2345,152798842.5242514
452,2345,152822340.47419873
453,2345,174661658.75137347
454,2346,160731467.05366552
455,2345,138135860.70561463
456,2345,169078068.9168319
457,2346,172271331.48144534
458,2345,156908634.46343154
459,2346,151444617.87395048
460,2345,157732291.48059875
461,2345,159861197.4945078
462,2345,176835319.49635908
463,2345,153332646.76915723
464,2348,155745692.6532219
465,2345,156880138.11557382
466,2345,143818402.28117087
467,2345,162982125.76360542
468,2347,165894648.76194257
469,2345,162812865.8557005
470,2345,168579171.97994518
471,2346,178899528.24799556
472,2345,160831859.70973918
473,2345,191872146.53938693
474,2346,168156443.42976838
475,2346,164331894.82238474
476,2346,168629971.829276
477,2345,169967942.67085886
478,2345,154661997.26000732
479,2345,163521383.90107518
480,2345,164755849.30653638
481,2345,175188011.1370042
482,2345,161195409.55343553
483,2346,167088290.5049085
484,2345,169377369.71740955
485,2345,164976854.26133138
486,2346,156026845.0722459
487,2346,173003249.83948892
488,2346,163705960.09520015
489,2345,173907266.35789794
490,2345,161531937.49493164
491,2345,180019471.3031897
492,2346,155339259.8174346
493,2346,164342322.50915504
494,2345,171826920.0726562
495,2346,175256404.62812895
496,2345,160891130.502931
497,2345,171165523.82149255
498,2346,163257930.7080966
499,2345,150091404.21686375
500,2345,158338937.3406462
501,2346,174436253.05426446
502,2345,152679741.420199
503,2345,170578641.70096964
504,2345,162459403.625435
505,2346,156024651.12728286
506,2345,157405935.2610792
507,2345,165869054.7399648
508,2345,167760418.60464227
509,2345,164589807.2485701
510,2346,155298771.13137093
511,2347,164953752.60403603
512,2346,173491117.4102935
513,2345,149418721.4946668
514,2345,149762169.29428548
515,2345,164709289.7141159
516,2345,154015311.58676
517,2345,162385743.31691086
518,2345,152017219.83732563
519,2345,161334016.71480358
520,2347,153187520.80710238
521,2347,155136873.05404937
522,2345,153860875.6545296
523,2345,159553074.70904136
524,2345,172848287.57113665
525,2346,170352962.94513214
526,2346,148906778.96601617
527,2346,146598405.49081823
528,2347,166996438.8321018
529,2345,159308330.33163878
530,2348,164657967.3535018
531,2346,152724513.44316655
532,2346,154374915.37207675
533,2346,165922944.99490649
534,2345,161023086.67909414
535,2345,150876467.66985786
536,2345,158321551.46140572
537,2345,152160190.23290098
538,2346,158033473.57662457
539,2345,165788022.27056813
540,2345,162072130.66333053
541,2346,153405009.69875035
542,2346,163581757.88008508
543,2346,176381749.14142007
544,2345,165104388.9218999
545,2345,162347040.88363135
546,2347,149613935.58834177
547,2346,183958353.561356
548,2347,166865485.73678896
549,2345,167887999.48299783
550,2345,161179545.26582682
551,2346,167412854.87312794
552,2345,165309071.31043807
553,2345,152525423.80062556
554,2347,163913954.26915455
555,2345,154801042.909401
556,2345,151517428.1990822
557,2346,156519678.73888034
558,2345,145538966.70582768
559,2346,154537681.4091589
560,2345,159259437.6463059
561,2345,163406030.83811778
562,2345,159690061.8676429
563,2345,171315488.22485948
564,2346,163036501.37174594
565,2345,167581286.3628968
566,2345,165277596.94385993
567,2345,167318426.97236276
568,2345,169728713.91086173
569,2346,159582079.78739065
570,2346,171344600.2016422
571,2346,152185446.78216067
572,2346,152723417.22909206
573,2346,148056560.37680948
574,2345,173282681.95958206
575,2347,166664956.26070213
576,2345,158713496.7590708
577,2345,147212039.22173524
578,2345,162072668.84723905
579,2346,163502415.90189192
580,2346,158227569.61897665
581,2346,162067062.44870698
582,2345,162025581.42841363
583,2345,169652591.37584695
584,2345,162588631.70745337
585,2346,147592116.28837
586,2347,176165390.66537422
587,2345,150243528.81748635
588,2346,154470506.16335842
589,2345,152888431.69496644
590,2347,154708272.21709514
591,2345,166766669.75830674
592,2345,155665127.38648942
593,2346,151699736.86684018
594,2346,161163343.67237815
595,2345,161818500.82025498
596,2348,167138915.75108343
597,2345,159995723.7559237
598,2346,148535422.39910227
599,2345,151152577.83283702
600,2345,161239325.88182306
601,2345,163417025.02206695
602,2345,145229938.41642278
603,2345,153706077.6409216
604,2346,173231425.0212082
605,2346,161575797.41938055
606,2345,168581954.86865628
607,2345,148024036.0280627
608,2346,161053070.36524796
609,2345,165209783.8828423
610,2345,160450855.6107731
611,2345,156819362.1108636
612,2345,174966558.33676043
613,2345,157502126.02083588
614,2345,158221116.22496635
615,2345,151921318.1376803
616,2346,168071735.5030924
617,2345,149876669.86975133
618,2346,140879299.20624757
619,2345,176236200.34264463
620,2345,168325235.91786745
621,2345,171191488.56339437
622,2345,170342670.07465667
623,2346,157345136.28325707
624,2345,162108277.6000072
625,2346,147191872.50564376
626,2345,153575039.6310769
627,2346,158674140.3484609
628,2347,156274942.09860784
629,2345,175375325.4655785
630,2345,165626957.6244118
631,2348,149071040.79676116
632,2348,153104626.57227492
633,2345,160693997.34692323
634,2346,155020318.4200741
635,2347,161760060.72271883
636,2348,153141558.64653483
637,2345,154969070.57890475
638,2345,156539128.56306827
639,2346,158650725.6439203
640,2345,162005857.54447693
641,2345,159678150.4087603
642,2346,174878556.61181498
643,2345,159249936.65651536
644,2345,157487266.71248674
645,2345,161394043.93622378
646,2345,153399743.5007155
647,2345,174676406.05078307
648,2346,158491996.48892608
649,2345,153481754.55517644
650,2346,173032459.43955892
651,2345,166037103.63196844
652,2347,146455609.5223404
653,2345,177576063.50555414
654,2345,158518769.70451427
655,2346,166468023.49304825
656,2345,149366806.8576781
657,2345,164908438.7988148
658,2345,155937021.77956235
659,2345,171097066.63426593
660,2345,160949448.09260845
661,2345,158233388.57017466
662,2345,158367828.14666283
663,2345,149813019.8230831
664,2346,171236099.97474793
665,2346,165609526.18859655
666,2346,157312471.1046379
667,2345,164658556.91249394
668,2345,163810678.8325972
669,2346,160411602.22450918
670,2347,158501269.1797891
671,2345,183495484.4449026
672,2346,159589545.07656163
673,2345,158941106.1132778
674,2345,158588667.60975873
675,2345,161425775.13990772
676,2347,160187554.09208927
677,2345,156588609.54252288
678,2345,153215771.02833807
679,2345,175637421.06502143
680,2345,159759685.2933846
681,2345,152061833.9979882
682,2346,189771317.28032687
683,2347,178384321.5785425
684,2345,143580974.48119724
685,2345,161250239.9454256
686,2346,159848077.19660896
687,2345,156428619.57137096
688,2345,157675395.62065625
689,2346,157310271.42525536
690,2345,148649730.2209563
691,2347,161197717.07839662
692,2346,141983291.93632776
693,2346,155665029.31029278
694,2347,170786854.4166754
695,2345,162761445.4153173
696,2345,159656691.21987385
697,2345,149866123.0280031
698,2345,181589145.01051548
699,2345,147828899.8900162
700,2345,161052111.0969699
701,2345,170411556.3718667
702,2346,155996958.00054964
703,2345,141979307.9498044
704,2346,156609880.72071514
705,2345,157228417.60739166
706,2345,188739650.926296
707,2346,159707399.93139288
708,2345,164608308.33316705
709,2347,161819777.0289988
710,2346,149944921.47028917
711,2345,159442102.8757093
712,2346,164394975.32209992
713,2345,153949871.36106837
714,2345,161359310.39632237
715,2345,159729073.11344868
716,2346,161547343.27146962
717,2346,169424579.5957039
718,2345,156792329.72647563
719,2345,156769792.16903946
720,2345,157810100.43003625
721,2345,161746237.4644909
722,2346,164750766.0009839
723,2345,165830408.86791217
724,2345,157452444.86500424
725,2346,174411465.9908958
726,2345,164653006.8759497
727,2345,167114838.60881448
728,2345,166275369.6591107
729,2345,152699374.50143212
730,2346,158074207.9784733
731,2346,170654574.0775575
732,2345,149457025.95890832
733,2345,165339596.14979076
734,2345,148356360.99667743
735,2345,171154884.54848704
736,2347,170441773.1508687
737,2345,162605396.89181054
738,2346,157628026.3888867
739,2346,174160495.5838858
740,2345,150534158.8262195
741,2346,156246735.6462121
742,2346,165048992.75090674
743,2345,162148583.97955915
744,2345,158824167.78709477
745,2347,154461010.80739892
746,2346,157755053.72262487
747,2345,158456432.31773594
748,2345,153645651.26760694
749,2345,168320503.9322283
750,2346,170397590.54369944
751,2345,152595160.82651687
752,2345,171531484.5815993
753,2346,170442124.10357398
754,2345,156979052.2874908
755,2345,158995380.6566677
756,2345,175893094.66273013
757,2345,155938787.5004032
758,2345,156387668.36805353
759,2346,186102759.1861838
760,2345,154174872.546041
761,2345,154889255.43235782
762,2345,164145145.57157877
763,2346,169271963.07046106
764,2345,155323877.64082688
765,2346,168108535.6132625
766,2345,154676080.40298742
767,2346,160185904.37459004
768,2345,157588508.03075796
769,2345,147680031.78824955
770,2346,161414408.84745127
771,2345,175575670.55572623
772,2345,166847348.57506818
773,2345,163369653.68097848
774,2345,183979048.12442753
775,2345,157115572.99714422
776,2345,156654769.92321166
777,2345,150336271.12641373
778,2345,161262167.20055288
779,2346,155336231.2246223
780,2345,164627422.74884707
781,2346,148782325.52132356
782,2345,153397035.1607657
783,2345,165644355.86463878
784,2345,146688262.522025
785,2345,154441210.95251006
786,2345,169028575.07951444
787,2346,163565712.13135278
788,2347,172955894.62279877
789,2346,150470579.09959143
790,2345,161690374.40876263
791,2345,149530516.0056733
792,2348,166840579.10531378
793,2345,160910164.17040807
794,2345,150750370.96517855
795,2345,168256920.5957989
796,2345,165435282.5699346
797,2345,170841871.28001213
798,2345,161006257.92449677
799,2345,174437904.73996857
800,2345,170027334.80860308
801,2345,143554520.21663156
802,2345,158710373.9298002
803,2346,155926357.3740261
804,2345,163081489.7474373
805,2345,146999365.54631448
806,2346,155204956.81517404
807,2346,175512403.36999416
808,2345,152742656.68569255
809,2345,160253035.69506365
810,2346,150314075.59505254
811,2346,147640685.15660536
812,2345,161975566.85322893
813,2345,160227872.61587983
814,2345,159461593.9762038
815,2345,159141868.73976654
816,2347,156780701.34968257
817,2346,161603262.40889388
818,2345,165765533.55342108
819,2345,172085756.86698776
820,2345,170131577.22809884
821,2345,163172979.53304222
822,2345,160333403.0372426
823,2346,159548225.79323104
824,2346,172569946.67923412
825,2345,161278486.61950576
826,2345,161375905.6185305
827,2345,144651008.92967987
828,2345,150898271.7939539
829,2345,163361670.11041582
830,2345,165187394.9816261
831,2346,175849912.91633734
832,2345,162871320.23025388
833,2346,156668061.66276926
834,2347,163897468.5062949
835,2345,159745704.4235509
836,2345,188174904.3856688
837,2346,170513037.47257978
838,2345,156035962.3031801
839,2346,146919998.06277233
840,2346,159967723.97409475
841,2346,161958219.57761094
842,2345,172372066.05648077
843,2345,160885210.65766633
844,2345,148929596.48215204
845,2347,162670700.349644
846,2345,163989985.86786836
847,2345,158161564.67470872
848,2345,150657217.85979003
849,2345,170993277.4241686
850,2345,168730322.06861323
851,2346,145162290.93211904
852,2349,149506954.27648097
853,2345,168772453.899885
854,2345,166971898.7363007
855,2347,170695126.35743344
856,2346,169013439.6236175
857,2345,156700589.88121447
858,2345,165634670.28516972
859,2346,153217866.5165178
860,2345,160078869.223566
861,2345,163541125.18894517
862,2345,165651470.33141086
863,2345,162086674.35121557
864,2346,171955584.02094787
865,2346,160248961.34014338
866,2346,173755037.96911037
867,2345,159181075.26270908
868,2345,176197774.9636523
869,2346,159652945.34879446
870,2347,154793102.10685945
871,2345,168176227.38787174
872,2346,157088445.74225304
873,2345,156646538.40362418
874,2345,181226706.7408332
875,2345,163195634.04365844
876,2345,155894919.88395694
877,2346,149493309.7265587
878,2345,162893324.40856624
879,2345,167546810.11618748
880,2347,147997765.79359627
881,2347,155403814.7016502
882,2347,158199337.8959629
883,2345,154653421.5981726
884,2347,169436002.04309288
885,2345,160644533.3548767
886,2347,147524977.34032282
887,2345,159331022.13917062
888,2346,171231413.4227246
889,2345,175395994.14655447
890,2347,165865603.8126588
891,2345,156757857.80373016
892,2346,154089093.44077182
893,2345,156794226.31667972
894,2345,162285385.2401733
895,2346,158997340.74856204
896,2345,178774742.24841535
897,2346,166594614.01648745
898,2346,164649320.53572434
899,2345,159903899.37943253
900,2345,153804744.91715485
901,2346,163001144.62401146
902,2345,163318254.58949363
903,2345,158452202.6499459
904,2345,174805745.39708126
905,2347,154769711.83987498
906,2346,152868257.3621816
907,2346,153954590.35540724
908,2345,147843863.55267566
909,2345,166474234.95414996
910,2348,163631659.73715377
911,2345,162011043.29398125
912,2345,165266647.53646195
913,2347,142405353.98560485
914,2345,163092697.98635018
915,2345,160292357.11281848
916,2345,154136891.75836056
917,2345,161798255.98909748
918,2345,167993724.47920167
919,2346,169587231.88573056
920,2345,171365209.40734938
921,2347,146718199.3753139
922,2345,180108385.39171517
923,2346,175071947.25793046
924,2348,160070860.07987446
925,2346,160538066.650037
926,2346,165969711.2409102
927,2345,174368138.9734196
928,2345,171744998.43491554
929,2345,170238810.07983744
930,2345,158367979.13788193
931,2345,185896928.80382082
932,2345,146753972.87089354
933,2345,150960344.3553577
934,2346,152065199.288696
935,2346,161275859.33245444
936,2345,170307243.6493318
937,2345,151696591.6940205
938,2347,163523099.53526947
939,2345,155193393.8602328
940,2346,162214262.61334258
941,2346,159855755.18377778
942,2345,185936307.05271733
943,2346,174293728.95547706
944,2347,169567951.57689112
945,2345,166522766.5407998
946,2345,170421220.44934556
947,2345,165608692.36155868
948,2345,165209177.22917593
949,2345,162503535.11484262
950,2347,177260978.70988405
951,2346,160225964.95442283
952,2345,156263273.41205835
953,2347,155029891.55036613
954,2347,155621676.06798875
955,2345,180352282.86156893
956,2345,157983183.45345545
957,2346,167404560.41745692
958,2345,157273053.21304223
959,2346,156702958.45940137
960,2345,164162804.49217945
961,2345,161491323.49169824
962,2345,160462438.15671927
963,2346,158454774.49772912
964,2345,174934803.15742427
965,2346,162194835.5539254
966,2347,150931598.90441853
967,2345,174647642.8459338
968,2345,157440933.7094502
969,2345,161014366.25791264
970,2346,154220344.23948222
971,2345,151132032.15700212
972,2346,154300315.11386645
973,2346,162773988.35656506
974,2346,161289761.42629725
975,2345,169036627.09040338
976,2345,160945495.28160322
977,2346,158851994.7196581
978,2345,168494071.76936853
979,2346,160140761.31735644
980,2347,173591938.99826688
981,2345,151992112.58359253
982,2345,170082967.61905164
983,2345,161375339.23357302
984,2349,157193474.46256524
985,2347,156277186.16151333
986,2345,150033674.88546836
987,2345,153426139.222786
988,2345,151323685.88902298
989,2345,163427827.96393073
990,2345,170591194.49688643
991,2345,161801797.5325746
992,2347,159919026.31596226
993,2345,167159901.22280693
994,2347,158550951.20258933
995,2345,162428406.4595189
996,2345,165908302.18000478
997,2345,159498999.67779946
998,2345,147294655.49066412
999,2345,173308630.22970617
