Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_Type,HCPCS_Cd,HCPCS_Desc,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
1003001645,Trivedi,Vinod,Sacramento,CA,95816,1,Infectious Disease,99441,"Telephone medical discussion with physician, 5-10 minutes",O,12,12.0,12,145.0,59.610833333,35.825833333,33.375
1003001645,Trivedi,Vinod,Sacramento,CA,95816,1,Infectious Disease,99442,"Telephone medical discussion with physician, 11-20 minutes",O,21,34.0,34,235.0,95.746470588,66.743823529,62.601470588
1003002072,Gotesman,Alexander,Hamilton,NJ,8690,1,Urology,99443,"Telephone medical discussion with physician, 21-30 minutes",O,91,104.0,104,259.0,134.45153846,97.133076923,92.522211538
1003003609,Pakkivenkata,Uma,Dallas,TX,75231,1,Nephrology,99442,"Telephone medical discussion with physician, 11-20 minutes",O,38,52.0,52,240.72,92.110961538,61.219230769,59.718076923
1003003609,Pakkivenkata,Uma,Dallas,TX,75231,1,Nephrology,99443,"Telephone medical discussion with physician, 21-30 minutes",O,21,25.0,25,354.96,130.3012,83.864,81.876
1003007204,Yamani,Hussein,Conroe,TX,77304,1.1,Cardiology,G2066,"Interrogation device evaluation(s), (remote) up to 30 days; implantable cardiovascular physiologic monitor system, implantable loop recorder system, or subcutaneous cardiac rhythm monitor system, remote data acquisition(s), receipt of transmissions and tec",O,13,43.0,43,400.0,35.764418605,27.960697674,27.309767442
1003007592,Miller,Carolyn,Johnsonburg,PA,15845,8,Physician Assistant,99442,"Telephone medical discussion with physician, 11-20 minutes",O,14,14.0,14,76.5,55.745,20.527142857,21.263571429
1003007592,Miller,Carolyn,Johnsonburg,PA,15845,8,Physician Assistant,99443,"Telephone medical discussion with physician, 21-30 minutes",O,12,14.0,14,112.57142857,82.223571429,56.372142857,56.798571429
1003009358,Kodumuri,Vamsi,Orlando,FL,32825,1,Interventional Cardiology,99442,"Telephone medical discussion with physician, 11-20 minutes",F,12,12.0,12,178.83333333,63.506666667,42.225,44.396666667
1003010406,Ramaswamy,Ravishankar,New York,NY,10029,1,Geriatric Medicine,99443,"Telephone medical discussion with physician, 21-30 minutes",F,15,15.0,15,215.0,113.05066667,90.500666667,77.59
1003010943,Koshy,Anoopa,Chicago,IL,60611,1,Endocrinology,99443,"Telephone medical discussion with physician, 21-30 minutes",O,149,188.0,188,250.0,137.20803191,99.11287234,91.586117021
1003011214,Bajaj,Bhavandeep,Baltimore,MD,21229,1,Internal Medicine,99442,"Telephone medical discussion with physician, 11-20 minutes",O,12,14.0,14,100.0,88.257857143,31.405714286,36.251428571
1003011610,Ray,Alaka,Boston,MA,2114,1,Internal Medicine,99443,"Telephone medical discussion with physician, 21-30 minutes",F,23,30.0,30,398.8,106.354,78.679666667,71.673666667
1003012352,Boots,Carrie,Fort Wayne,IN,46804,1,Nurse Practitioner,99441,"Telephone medical discussion with physician, 5-10 minutes",O,12,12.0,12,86.0,41.4375,21.514166667,27.3075
1003012352,Boots,Carrie,Fort Wayne,IN,46804,1,Nurse Practitioner,99443,"Telephone medical discussion with physician, 21-30 minutes",O,11,11.0,11,206.0,103.86636364,83.186363636,86.48
1003013061,Correa,Zana,New York,NY,10065,1,Nurse Practitioner,99442,"Telephone medical discussion with physician, 11-20 minutes",O,18,19.0,19,375.0,64.543684211,48.757368421,42.385263158
1003013160,Grabenstein,William,Clarksville,TN,37043,1,Family Practice,99441,"Telephone medical discussion with physician, 5-10 minutes",O,23,26.0,26,75.0,48.577307692,34.123846154,40.138076923
1003013723,Fields,Justin,Norman,OK,73071,1.1,Internal Medicine,99442,"Telephone medical discussion with physician, 11-20 minutes",O,16,18.0,18,129.0,81.514444444,33.983888889,42.72
1003013723,Fields,Justin,Norman,OK,73071,1.1,Internal Medicine,99443,"Telephone medical discussion with physician, 21-30 minutes",O,11,13.0,13,184.0,122.13384615,64.974615385,69.964615385
1003013756,Phung,Andy,High Point,NC,27262,1,Family Practice,99443,"Telephone medical discussion with physician, 21-30 minutes",O,12,13.0,13,235.0,123.99076923,57.999230769,61.828461538
1003015124,Evert,Jessica,Boise,ID,83706,1,Family Practice,99443,"Telephone medical discussion with physician, 21-30 minutes",O,14,17.0,17,235.58823529,93.201764706,74.591764706,96.067647059
1003015207,Swaney,Robert,Newburgh,IN,47630,1,Hematology-Oncology,99443,"Telephone medical discussion with physician, 21-30 minutes",F,24,30.0,30,116.0,97.458,77.678,77.59
