Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_Type,HCPCS_Cd,HCPCS_Desc,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
1003001645,Trivedi,Vinod,Sacramento,CA,95816,1.0,Infectious Disease,99442,"Telephone medical discussion with physician, 11-20 minutes",O,20,27.0,27,235.0,96.353703704,71.78037037,66.108888889
1003002072,Gotesman,Alexander,Hamilton,NJ,8690,1.0,Urology,99443,"Telephone medical discussion with physician, 21-30 minutes",O,11,11.0,11,259.0,135.42,107.9,100.16
1003003609,Pakkivenkata,Uma,Dallas,TX,75231,1.0,Nephrology,99442,"Telephone medical discussion with physician, 11-20 minutes",O,12,12.0,12,240.72,84.101666667,32.055833333,37.986666667
1003007204,Yamani,Hussein,Conroe,TX,77304,1.1,Cardiology,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,47,47.0,47,54.15,18.15,14.51,15.15
1003007204,Yamani,Hussein,Conroe,TX,77304,1.1,Cardiology,99454,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",O,57,300.0,300,159.24,47.41,37.89,39.32
1003007204,Yamani,Hussein,Conroe,TX,77304,1.1,Cardiology,99457,"Management using the results of remote vital sign monitoring per calendar month, first 20 minutes",O,61,351.0,351,145.08,46.95,37.52,38.26
1003007204,Yamani,Hussein,Conroe,TX,77304,1.1,Cardiology,99458,"Management using the results of remote vital sign monitoring per calendar month, each additional 20 minutes",O,57,667.0,312,118.29,38.3,30.611634183,31.084617691
1003007204,Yamani,Hussein,Conroe,TX,77304,1.1,Cardiology,G2066,"Interrogation device evaluation(s), (remote) up to 30 days; implantable cardiovascular physiologic monitor system, implantable loop recorder system, or subcutaneous cardiac rhythm monitor system, remote data acquisition(s), receipt of transmissions and tec",O,14,47.0,47,400.0,35.554042553,27.49212766,27.056808511
1003009861,Banna,Moustafa,Peoria,AZ,85381,1.0,Cardiology,99454,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",O,23,87.0,87,106.0,48.173908046,36.854942529,37.697471264
1003009861,Banna,Moustafa,Peoria,AZ,85381,1.0,Cardiology,99457,"Management using the results of remote vital sign monitoring per calendar month, first 20 minutes",O,23,87.0,87,97.0,47.523103448,36.689655172,36.980689655
1003009861,Banna,Moustafa,Peoria,AZ,85381,1.0,Cardiology,99458,"Management using the results of remote vital sign monitoring per calendar month, each additional 20 minutes",O,22,81.0,81,80.0,38.730987654,30.542839506,30.662592593
1003010406,Ramaswamy,Ravishankar,New York,NY,10029,1.0,Geriatric Medicine,99443,"Telephone medical discussion with physician, 21-30 minutes",F,13,14.0,14,234.71428571,109.68,87.79,75.98
1003010943,Koshy,Anoopa,Chicago,IL,60611,1.0,Endocrinology,99443,"Telephone medical discussion with physician, 21-30 minutes",O,143,189.0,189,250.0,133.73798942,97.554867725,91.288095238
1003011610,Ray,Alaka,Boston,MA,2114,1.0,Internal Medicine,99443,"Telephone medical discussion with physician, 21-30 minutes",F,15,16.0,16,403.875,103.19,82.22,75.99
1003013061,Correa,Zana,New York,NY,10065,1.0,Nurse Practitioner,99442,"Telephone medical discussion with physician, 11-20 minutes",O,20,20.0,20,375.0,63.538,45.675,39.627
1003013160,Grabenstein,William,Clarksville,TN,37043,1.0,Family Practice,99441,"Telephone medical discussion with physician, 5-10 minutes",O,56,79.0,79,75.0,37.255316456,24.260126582,39.031392405
1003013160,Grabenstein,William,Clarksville,TN,37043,1.0,Family Practice,99442,"Telephone medical discussion with physician, 11-20 minutes",O,13,13.0,13,100.0,73.007692308,43.393846154,57.134615385
1003013723,Fields,Justin,Norman,OK,73071,1.1,Internal Medicine,99442,"Telephone medical discussion with physician, 11-20 minutes",O,11,12.0,12,129.0,85.325,46.059166667,49.689166667
1003016270,Muthukrishnan,Vijai,Bristol,CT,6010,1.0,Hospitalist,99443,"Telephone medical discussion with physician, 21-30 minutes",O,12,14.0,14,125.0,125.27571429,95.172857143,95.159285714
1003016957,Mathur,Shishir,Glastonbury,CT,6033,1.0,Interventional Cardiology,99442,"Telephone medical discussion with physician, 11-20 minutes",O,12,12.0,12,167.16666667,95.508333333,63.241666667,59.333333333
1003019613,Stefan,Delia,Fishkill,NY,12524,1.0,Endocrinology,99443,"Telephone medical discussion with physician, 21-30 minutes",O,19,21.0,21,584.0,144.82095238,110.73,96.582857143
1003020413,Batty,George,Sanford,ME,4073,4.0,Medical Oncology,99443,"Telephone medical discussion with physician, 21-30 minutes",O,15,15.0,15,307.0,94.41,60.77,61.802
1003022013,Chen,Merry,Houston,TX,77030,1.0,Neurology,99443,"Telephone medical discussion with physician, 21-30 minutes",F,44,56.0,56,266.10714286,97.995,75.252857143,73.266428571
1003023706,Nguyen,Van-Anh,Annandale,VA,22003,1.0,Family Practice,99442,"Telephone medical discussion with physician, 11-20 minutes",O,89,173.0,173,206.0,101.83624277,74.323179191,64.87699422
1003023706,Nguyen,Van-Anh,Annandale,VA,22003,1.0,Family Practice,99443,"Telephone medical discussion with physician, 21-30 minutes",O,74,146.0,146,304.0,142.69883562,106.78931507,93.94369863
1003025875,Davol,Patrick,Medford,OR,97504,1.0,Urology,99441,"Telephone medical discussion with physician, 5-10 minutes",O,32,35.0,35,78.0,53.844571429,39.168,40.455428571
1003025875,Davol,Patrick,Medford,OR,97504,1.0,Urology,99442,"Telephone medical discussion with physician, 11-20 minutes",O,27,29.0,29,132.5862069,85.147241379,68.100344828,71.731724138
1003026410,Mummadi,Vijaya,Dallas,TX,75231,1.0,Internal Medicine,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,11,13.0,13,60.0,19.13,15.24,15.14
1003026410,Mummadi,Vijaya,Dallas,TX,75231,1.0,Internal Medicine,99454,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",O,52,234.0,234,200.0,50.176068376,35.665384615,35.130982906
1003026410,Mummadi,Vijaya,Dallas,TX,75231,1.0,Internal Medicine,99457,"Management using the results of remote vital sign monitoring per calendar month, first 20 minutes",O,61,490.0,490,160.0,48.457857143,36.731367347,36.426367347
1003026410,Mummadi,Vijaya,Dallas,TX,75231,1.0,Internal Medicine,99458,"Management using the results of remote vital sign monitoring per calendar month, each additional 20 minutes",O,54,177.0,143,130.0,39.272485876,31.168587571,30.960564972
1003029869,Mehta,Neeraj,Alabaster,AL,35007,1.0,Cardiology,99454,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",O,49,222.0,222,53.0,44.089099099,34.972072072,39.02018018
1003029869,Mehta,Neeraj,Alabaster,AL,35007,1.0,Cardiology,99457,"Management using the results of remote vital sign monitoring per calendar month, first 20 minutes",O,48,217.0,217,54.0,45.299400922,36.069723502,38.077373272
1003029869,Mehta,Neeraj,Alabaster,AL,35007,1.0,Cardiology,99458,"Management using the results of remote vital sign monitoring per calendar month, each additional 20 minutes",O,47,241.0,168,45.0,37.246970954,29.816970954,31.086058091
1003030693,Maddox,William,Birmingham,AL,35211,1.0,Cardiology,99443,"Telephone medical discussion with physician, 21-30 minutes",F,26,26.0,26,215.0,92.675,62.180769231,64.334615385
1003030693,Maddox,William,Birmingham,AL,35211,1.0,Cardiology,G2066,"Interrogation device evaluation(s), (remote) up to 30 days; implantable cardiovascular physiologic monitor system, implantable loop recorder system, or subcutaneous cardiac rhythm monitor system, remote data acquisition(s), receipt of transmissions and tec",O,34,150.0,150,200.0,53.9422,40.7666,39.8314
1003037037,Parada,Gregory,Seattle,WA,98107,1.0,Family Practice,99442,"Telephone medical discussion with physician, 11-20 minutes",O,12,38.0,38,222.0,99.606052632,63.073684211,56.413421053
1003037904,Burdick,Kristin,Nashua,NH,3063,1.0,Family Practice,99443,"Telephone medical discussion with physician, 21-30 minutes",O,16,16.0,16,264.5,97.376875,66.943125,65.335625
1003042581,Verdecia,Dania,Miami,FL,33175,1.0,Nurse Practitioner,99441,"Telephone medical discussion with physician, 5-10 minutes",O,15,33.0,33,47.727272727,32.112727273,23.047272727,35.216363636
1003046624,Tan,Theodore Conrad,Dover,DE,19904,1.0,Internal Medicine,99441,"Telephone medical discussion with physician, 5-10 minutes",O,27,29.0,29,56.206896552,53.095517241,36.028965517,38.127931034
1003046624,Tan,Theodore Conrad,Dover,DE,19904,1.0,Internal Medicine,99442,"Telephone medical discussion with physician, 11-20 minutes",O,71,78.0,78,62.756410256,61.979358974,38.078205128,61.925641026
1003047242,Kancharla,Krishna,Pittsburgh,PA,15232,1.0,Cardiology,G2066,"Interrogation device evaluation(s), (remote) up to 30 days; implantable cardiovascular physiologic monitor system, implantable loop recorder system, or subcutaneous cardiac rhythm monitor system, remote data acquisition(s), receipt of transmissions and tec",O,28,75.0,75,72.0,35.165733333,25.276533333,24.997333333
1003048117,Agha,Haidr,Virginia Beach,VA,23454,1.0,Nephrology,99443,"Telephone medical discussion with physician, 21-30 minutes",O,33,40.0,40,322.528,75.637,31.1885,81.4295
1003051871,Popalzai,Muhammad,Carterville,IL,62918,1.0,Hematology-Oncology,99442,"Telephone medical discussion with physician, 11-20 minutes",O,13,15.0,15,135.0,88.086666667,63.739333333,64.615333333
1003055179,Nuyles,Michael,North Aurora,IL,60542,1.0,Interventional Cardiology,G2066,"Interrogation device evaluation(s), (remote) up to 30 days; implantable cardiovascular physiologic monitor system, implantable loop recorder system, or subcutaneous cardiac rhythm monitor system, remote data acquisition(s), receipt of transmissions and tec",O,80,90.0,90,535.0,79.620888889,62.008666667,62.008666667
1003055302,Alqwasmi,Abdel Hai,West Bend,WI,53095,1.1,Hematology-Oncology,99442,"Telephone medical discussion with physician, 11-20 minutes",O,23,29.0,29,107.0,62.168275862,46.142068966,48.456896552
1003056888,Joseph,Jacqueline,Mount Vernon,NY,10550,1.0,Nurse Practitioner,99442,"Telephone medical discussion with physician, 11-20 minutes",O,24,28.0,28,106.62,73.8925,27.341428571,29.742857143
1003058173,Kapalis,Matthew,Omaha,NE,68124,1.0,Clinical Cardiac Electrophysiology,99441,"Telephone medical discussion with physician, 5-10 minutes",O,11,11.0,11,129.0,52.015454545,26.218181818,29.383636364
1003058173,Kapalis,Matthew,Omaha,NE,68124,1.0,Clinical Cardiac Electrophysiology,G2066,"Interrogation device evaluation(s), (remote) up to 30 days; implantable cardiovascular physiologic monitor system, implantable loop recorder system, or subcutaneous cardiac rhythm monitor system, remote data acquisition(s), receipt of transmissions and tec",O,113,615.0,615,77.0,66.511365854,50.396569106,50.86
1003059437,Reddy,Sruthi,Washington,DC,20007,1.0,Internal Medicine,99443,"Telephone medical discussion with physician, 21-30 minutes",O,11,13.0,13,277.61538462,145.13538462,87.48,73.092307692
1003062647,Beauzile,Ronald,Belchertown,MA,1007,1.0,Internal Medicine,99443,"Telephone medical discussion with physician, 21-30 minutes",O,138,189.0,189,243.23809524,130.25068783,87.286349206,84.379312169
1003065509,Thomas,Nicole,Jacksonville Beach,FL,32250,1.0,Nurse Practitioner,99443,"Telephone medical discussion with physician, 21-30 minutes",O,21,23.0,23,125.0,106.91695652,74.016521739,73.926521739
1003066580,Kaimakliotis,Hristos,Indianapolis,IN,46202,1.0,Urology,99443,"Telephone medical discussion with physician, 21-30 minutes",F,65,79.0,79,193.0,90.863037975,70.752025316,74.383417722
1003067455,Feng,Yan,Greensboro,NC,27403,1.0,Hematology-Oncology,99442,"Telephone medical discussion with physician, 11-20 minutes",F,16,24.0,24,187.5,62.83,50.06,51.8
1003067455,Feng,Yan,Greensboro,NC,27403,1.0,Hematology-Oncology,99443,"Telephone medical discussion with physician, 21-30 minutes",F,20,23.0,23,255.0,90.166086957,65.380869565,70.164347826
1003070129,Ahmadian,Homayoun,Germantown,TN,38138,1.0,Cardiology,G2066,"Interrogation device evaluation(s), (remote) up to 30 days; implantable cardiovascular physiologic monitor system, implantable loop recorder system, or subcutaneous cardiac rhythm monitor system, remote data acquisition(s), receipt of transmissions and tec",O,14,105.0,105,72.0,53.202666667,39.484,38.566285714
1003071416,Hasan,Sana,Cleveland,OH,44195,1.0,Endocrinology,99421,"Online digital evaluation and management service for an established patient for up to 7 days, total time 5-10 minutes",O,14,15.0,15,33.0,12.525333333,9.3093333333,9.5426666667
1003072893,Shah,Anand,Lisle,IL,60532,1.0,Radiation Oncology,99441,"Telephone medical discussion with physician, 5-10 minutes",O,31,36.0,36,179.0,58.040555556,39.731666667,37.975
