Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_Type,HCPCS_Cd,HCPCS_Desc,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
1013232453,Zomerlei,Amy,Grand Rapids,MI,49546,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,42,44.0,44,43.909090909,24.671590909,18.084090909,19.191818182
1013247915,Varughese,Christopher,Staten Island,NY,10314,1,Cardiology,99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",O,12,12.0,12,150.0,51.37,40.9475,41.251666667
1013275478,Garoon,Robert,Des Plaines,IL,60016,1,Ophthalmology,G2010,"Remote evaluation of recorded video and/or images submitted by an established patient (e.g., store and forward), including interpretation with follow-up with the patient within 24 business hours, not originating from a related e/m service provided within t",O,22,30.0,30,13.748,12.991666667,9.6483333333,9.2283333333
1013416718,Madden,Tara,West Columbia,SC,29169,1,Nurse Practitioner,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,17,25.0,25,15.31,11.72,9.34,9.85
1013462738,Mullins,Alex,Louisville,KY,40202,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,43,127.0,127,40.0,25.78511811,17.808740157,17.808740157
1013905157,Criner,Gerard,Philadelphia,PA,19140,1,Pulmonary Disease,99454,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",O,24,99.0,99,140.0,68.7,54.9,50.29
1013914597,Olson,Mary,Vermillion,SD,57069,4,Family Practice,Q3014,Telehealth originating site facility fee,O,16,27.0,27,45.0,25.751481481,19.459259259,19.459259259
1013919604,Reed,Charles,Winnsboro,LA,71295,7,Family Practice,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,18,18.0,18,187.77777778,17.09,13.62,15.26
1013920362,Thomas,Corwin,Lafayette,LA,70508,1,Cardiology,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,30,30.0,30,45.0,17.22,13.75,15.26
1013920362,Thomas,Corwin,Lafayette,LA,70508,1,Cardiology,99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",O,31,64.0,64,80.0,47.80078125,38.1534375,40.40015625
1013929132,Gersappe,Anand,Seattle,WA,98122,1,Neurology,99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",O,12,12.0,12,116.0,54.8175,43.81,40.4
1013938844,Plumage,Darrell,Pierre,SD,57501,4,Internal Medicine,Q3014,Telehealth originating site facility fee,O,25,40.0,40,35.95,25.34425,17.78625,18.22775
1023008547,Hodous,Bert,Arcadia,WI,54612,7,Family Practice,Q3014,Telehealth originating site facility fee,O,15,17.0,17,45.0,25.828823529,15.676470588,15.676470588
1023020484,Schubert,Daniel,Marshall,MN,56258,4,Certified Clinical Nurse Specialist,Q3014,Telehealth originating site facility fee,O,39,89.0,89,51.0,25.792134831,17.469101124,17.469101124
1023045358,Terentiev,Andrei,Edgewater,NJ,7020,1,Internal Medicine,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,72,131.0,131,52.442748092,15.802977099,10.842824427,9.997480916
1023049079,Sachdeva,Ashish,Peoria,AZ,85381,1,Internal Medicine,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,96,97.0,97,40.0,18.403298969,14.516701031,15.14814433
1023049079,Sachdeva,Ashish,Peoria,AZ,85381,1,Internal Medicine,99454,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",O,98,191.0,191,170.0,60.743979058,48.113193717,50.118795812
1023049079,Sachdeva,Ashish,Peoria,AZ,85381,1,Internal Medicine,99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",O,97,214.0,214,125.0,49.310140187,39.115841121,40.310514019
1023052578,Saulle,Leonardo,New Hyde Park,NY,11042,1,Cardiology,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,15,15.0,15,100.0,23.76,19.0,15.26
1023052578,Saulle,Leonardo,New Hyde Park,NY,11042,1,Cardiology,99454,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",O,31,78.0,78,100.0,77.535769231,62.006666667,50.29
1023052578,Saulle,Leonardo,New Hyde Park,NY,11042,1,Cardiology,99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",O,30,56.0,56,100.0,59.78,47.81,40.4
1023053279,Von Sohsten,Roberto,Atlantis,FL,33462,1,Cardiology,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,15,16.0,16,40.0,19.9,15.9,15.290625
1023053279,Von Sohsten,Roberto,Atlantis,FL,33462,1,Cardiology,99454,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",O,27,150.0,150,130.39333333,64.756466667,51.0546,49.619466667
1023053279,Von Sohsten,Roberto,Atlantis,FL,33462,1,Cardiology,99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",O,28,152.0,152,107.0,52.801447368,41.914013158,40.135986842
1023057213,Brown,Kimberly,Charleston,SC,29414,1,"Psychologist, Clinical",Q3014,Telehealth originating site facility fee,O,126,773.0,773,27.966364812,25.736856404,19.691733506,19.691733506
1023074341,Zhang,Douglas,San Leandro,CA,94578,1,General Practice,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,93,94.0,94,30.0,24.301914894,18.498510638,14.710957447
1023074341,Zhang,Douglas,San Leandro,CA,94578,1,General Practice,99454,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",O,92,337.0,337,75.0,71.257329377,56.210504451,50.2315727
1023089851,Jensen,Regina,Wilmington,NC,28405,1,Internal Medicine,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,24,267.0,267,56.0,13.984307116,10.931385768,11.383258427
1023092020,Liang,Wen,Henderson,NV,89052,1,Internal Medicine,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,21,22.0,22,20.12,14.790909091,11.292272727,11.063181818
1023113610,Chen,Haifan,Flushing,NY,11354,1,Family Practice,99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",O,47,74.0,74,80.0,59.19,46.562162162,39.955675676
1023121837,Dysinger,Wayne,Riverside,CA,92506,1,Family Practice,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,16,16.0,16,35.0,20.46,16.3,16.3
1023128980,Zwald,Arlene,Round Rock,TX,78664,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,27,101.0,101,26.0,25.617227723,18.576039604,18.576039604
1023165610,Moore,Jacob,Honolulu,HI,96813,1,Nurse Practitioner,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,60,71.0,71,33.816901408,12.933098592,8.738028169,8.323943662
1023192721,Reyzelman,Alexander,San Francisco,CA,94115,1,Podiatry,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,14,18.0,18,125.0,22.705,18.180555556,15.683333333
1023192721,Reyzelman,Alexander,San Francisco,CA,94115,1,Podiatry,99454,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",O,12,27.0,27,125.0,78.111111111,62.435185185,51.221851852
1023192721,Reyzelman,Alexander,San Francisco,CA,94115,1,Podiatry,99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",O,20,51.0,51,200.0,57.586862745,45.045882353,40.20254902
1023272036,Goyal,Monika,Lebanon,MO,65536,4,Psychiatry,Q3014,Telehealth originating site facility fee,O,57,174.0,174,50.735632184,25.791494253,17.501724138,17.501724138
1023385531,Sneed,Dennis,Houston,TX,77030,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,45,68.0,68,40.294117647,25.506470588,18.217647059,18.217647059
1023413556,Taylor,Sarah,Houston,TX,77045,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,11,18.0,18,30.0,25.8,17.083333333,17.083333333
1023416781,Gillum,Codey,Roxbury Crossing,MA,2120,1,Physician Assistant,99091,"Collection and interpretation of physical parameters stored in computers and/or transmitted by the patient and/or caregiver to qualified health care professional, requiring 30 minutes or more, per 30 days",O,13,13.0,13,200.0,52.49,41.82,38.9
1023446457,Albright,Natalia,Dallas,TX,75252,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,37,70.0,70,25.509285714,25.175571429,16.32,16.32
1023487576,Sellek,Randi,Champaign,IL,61820,1,Licensed Clinical Social Worker,Q3014,Telehealth originating site facility fee,O,21,26.0,26,41.0,25.73,20.5,20.5
1023494226,Pedersen,Sarah,Centralia,WA,98531,4,Physician Assistant,Q3014,Telehealth originating site facility fee,O,30,35.0,35,50.0,25.742,19.914285714,19.914285714
1023517125,Labertew,Holly,Indianola,IA,50125,2,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,291,999.0,999,30.176176176,25.752132132,19.420840841,19.420840841
